time,seconds_elapsed,steps
1715093548698212900,-10.335787109375,0
1715093566652690400,7.6186904296875,10
1715093567629741000,8.595740966796875,12
1715093568646678300,9.61267822265625,14
1715093569663646200,10.629646240234376,16
1715093570461223000,11.427222900390625,18
1715093571677571300,12.6435712890625,20
1715093572495106800,13.46110693359375,22
1715093573691518000,14.65751806640625,24
1715093574708455200,15.674455078125,26
1715093575685505800,16.651505859375,28
1715093576682484700,17.648484619140625,30
1715093577719380500,18.68538037109375,32
1715093578536915700,19.502915771484375,34
1715093579753255000,20.7192548828125,36
1715093580750264300,21.716264404296876,38
1715093581747244800,22.713244873046875,40
1715093582744223500,23.710223388671874,42
1715093583721274400,24.6872744140625,44
1715093584738211600,25.704211669921875,46
1715093585735221000,26.701220947265625,48
1715093586732199700,27.69819970703125,50
1715093587729208800,28.695208740234374,52
1715093588726187800,29.692187744140625,54
1715093589743125000,30.709125,56
1715093590540732400,31.506732421875,58
1715093591776968200,32.74296826171875,60
1715093592853712600,33.819712646484376,62
1715093593551635500,34.51763549804687,63
1715093594588531200,35.55453125,65
